,fossil fuels: ,nuclear: ,solar: ,wind: ,hydroelectricity: ,tide and wave: ,geothermal: ,biomass and waste: ,GDP per capita ($):,region
Afghanistan,15.9,0.0,5.1,0.0,79.1,0.0,0.0,0.0,1500.0,South Asia
Albania,0.0,0.0,0.6,0.0,99.4,0.0,0.0,0.0,14500.0,Europe
Algeria,98.9,0.0,0.9,0.0,0.1,0.0,0.0,0.0,11000.0,Africa
American Samoa,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,Australia and Oceania
Angola,28.4,0.0,0.1,0.0,70.1,0.0,0.0,1.4,5900.0,Africa
Antigua and Barbuda,95.4,0.0,4.6,0.0,0.0,0.0,0.0,0.0,19100.0,Central America and the Caribbean
Argentina,65.8,7.3,1.0,6.8,17.6,0.0,0.0,1.5,21500.0,South America
Armenia,40.6,34.8,0.3,0.0,24.3,0.0,0.0,0.0,14200.0,Middle East
Aruba,83.3,0.0,1.2,15.4,0.0,0.0,0.0,0.0,38900.0,Central America and the Caribbean
Australia,75.4,0.0,8.6,8.4,6.2,0.0,0.0,1.4,49800.0,Australia and Oceania
Austria,17.4,0.0,2.8,9.4,62.9,0.0,0.0,7.4,54100.0,Europe
Azerbaijan,94.2,0.0,0.2,0.4,4.4,0.0,0.0,0.8,14400.0,Middle East
"Bahamas, The",99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,30200.0,Central America and the Caribbean
Bahrain,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49400.0,Middle East
Bangladesh,98.6,0.0,0.6,0.0,0.8,0.0,0.0,0.0,5900.0,South Asia
Barbados,95.9,0.0,4.1,0.0,0.0,0.0,0.0,0.0,13800.0,Central America and the Caribbean
Belarus,95.8,0.9,0.5,0.5,1.1,0.0,0.0,1.2,19800.0,Europe
Belgium,33.1,38.1,5.8,15.0,0.3,0.0,0.0,7.7,51700.0,Europe
Belize,63.6,0.0,0.2,0.0,13.4,0.0,0.0,22.9,8800.0,Central America and the Caribbean
Benin,96.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,3300.0,Africa
Bermuda,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80300.0,North America
Bhutan,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10900.0,South Asia
Bolivia,64.4,0.0,2.6,0.7,30.5,0.0,0.0,1.8,8100.0,South America
Bosnia and Herzegovina,62.8,0.0,0.3,1.5,35.4,0.0,0.0,0.1,15700.0,Europe
Botswana,99.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,14800.0,Africa
Brazil,11.8,2.3,1.7,9.2,65.8,0.0,0.0,9.2,14600.0,South America
British Virgin Islands,98.8,0.0,0.2,1.0,0.0,0.0,0.0,0.0,34200.0,Central America and the Caribbean
Brunei,100.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,60100.0,East and Southeast Asia
Bulgaria,36.5,44.7,4.0,4.0,9.1,0.0,0.0,1.9,24400.0,Europe
Burkina Faso,89.4,0.0,3.3,0.0,6.9,0.0,0.0,0.4,2200.0,Africa
Burma,52.6,0.0,0.1,0.0,47.3,0.0,0.0,0.0,4000.0,East and Southeast Asia
Burundi,33.3,0.0,2.3,0.0,62.8,0.0,0.0,1.7,700.0,Africa
Cabo Verde,80.2,0.0,2.0,17.8,0.0,0.0,0.0,0.0,6100.0,Africa
Cambodia,52.0,0.0,1.2,0.0,45.6,0.0,0.0,1.2,4400.0,East and Southeast Asia
Cameroon,32.5,0.0,0.2,0.0,67.3,0.0,0.0,0.0,3700.0,Africa
Canada,16.5,14.7,0.7,5.7,60.8,0.0,0.0,1.6,47900.0,North America
Cayman Islands,97.6,0.0,2.4,0.0,0.0,0.0,0.0,0.0,67500.0,Central America and the Caribbean
Central African Republic,0.7,0.0,0.0,0.0,99.3,0.0,0.0,0.0,800.0,Africa
Chad,96.8,0.0,0.0,3.2,0.0,0.0,0.0,0.0,1400.0,Africa
Chile,51.9,0.0,9.5,6.9,26.0,0.0,0.3,5.4,25400.0,South America
China,66.0,4.8,3.5,6.2,17.8,0.0,0.0,1.6,17600.0,East and Southeast Asia
Colombia,32.9,0.0,0.3,0.1,65.7,0.0,0.0,1.0,14600.0,South America
Comoros,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,Africa
"Congo, Democratic Republic of the",0.1,0.0,0.1,0.0,99.6,0.0,0.0,0.3,1100.0,Africa
"Congo, Republic of the",70.1,0.0,0.0,0.0,29.9,0.0,0.0,0.0,3200.0,Africa
Cook Islands,70.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,16700.0,Australia and Oceania
Costa Rica,0.2,0.0,0.6,12.5,71.1,0.0,14.5,1.2,21200.0,Central America and the Caribbean
Cote d'Ivoire,75.6,0.0,0.2,0.0,24.2,0.0,0.0,0.0,5300.0,Africa
Croatia,41.0,0.0,0.9,16.1,31.8,0.0,0.9,9.3,31600.0,Europe
Cuba,95.5,0.0,1.4,0.1,0.3,0.0,0.0,2.7,12300.0,Central America and the Caribbean
Cyprus,86.8,0.0,6.9,5.1,0.0,0.0,0.0,1.3,41700.0,Europe
Czechia,47.0,37.6,3.0,0.9,4.5,0.0,0.0,7.0,40700.0,Europe
Denmark,14.8,0.0,4.2,57.5,0.1,0.0,0.0,23.5,58000.0,Europe
Djibouti,98.2,0.0,1.8,0.0,0.0,0.0,0.0,0.0,4900.0,Africa
Dominica,74.8,0.0,0.1,0.6,24.5,0.0,0.0,0.0,10900.0,Central America and the Caribbean
Dominican Republic,93.4,0.0,1.5,3.2,0.7,0.0,0.0,1.2,18600.0,Central America and the Caribbean
Ecuador,21.0,0.0,0.1,0.2,77.2,0.0,0.0,1.5,10700.0,South America
Egypt,88.7,0.0,1.0,2.5,7.7,0.0,0.0,0.2,11600.0,Africa
El Salvador,28.2,0.0,7.5,0.0,30.0,0.0,22.2,12.1,9100.0,Central America and the Caribbean
Equatorial Guinea,89.4,0.0,0.0,0.0,10.6,0.0,0.0,0.0,14600.0,Africa
Eritrea,93.8,0.0,5.7,0.5,0.0,0.0,0.0,0.0,1600.0,Africa
Estonia,55.8,0.0,2.0,14.3,0.7,0.0,0.0,27.2,38700.0,Europe
Eswatini,44.1,0.0,0.2,0.0,24.8,0.0,0.0,31.0,8900.0,Africa
Ethiopia,0.0,0.0,0.1,3.8,95.8,0.0,0.0,0.3,2300.0,Africa
Falkland Islands (Islas Malvinas),66.7,0.0,0.0,33.3,0.0,0.0,0.0,0.0,70800.0,South America
Faroe Islands,58.9,0.0,0.0,15.1,26.0,0.0,0.0,0.0,40000.0,Europe
Fiji,41.9,0.0,1.6,0.3,50.2,0.0,0.0,6.0,10400.0,Australia and Oceania
Finland,13.4,33.4,0.4,11.9,23.2,0.0,0.0,17.8,48800.0,Europe
France,8.0,68.4,2.5,7.3,11.7,0.2,0.0,2.0,45000.0,Europe
French Polynesia,66.5,0.0,6.1,0.0,27.4,0.0,0.0,0.0,17000.0,Australia and Oceania
Gabon,40.6,0.0,0.1,0.0,59.0,0.0,0.0,0.3,13800.0,Africa
"Gambia, The",98.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2100.0,Africa
Gaza Strip,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,Middle East
Georgia,25.3,0.0,0.0,0.8,73.9,0.0,0.0,0.0,15500.0,Middle East
Germany,40.5,11.1,9.2,23.9,4.5,0.2,0.0,10.4,53200.0,Europe
Ghana,63.8,0.0,0.3,0.0,35.9,0.0,0.0,0.1,5400.0,Africa
Gibraltar,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61700.0,Europe
Greece,56.5,0.0,10.7,23.0,8.5,0.0,0.0,1.4,29500.0,Europe
